className,severity,filename,startLine,endLine,weight,guidelineWeight,name,isSnoozed
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,analysis/common/src/java/org/apache/lucene/analysis/miscellaneous/ASCIIFoldingFilter.java,120,2045,1923,1245,"ASCIIFoldingFilter.foldToASCII(char[],int,char[],int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,analysis/kuromoji/src/java/org/apache/lucene/analysis/ja/util/ToStringUtil.java,257,1097,838,295,"ToStringUtil.getRomanization(Appendable,CharSequence)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,analysis/common/src/java/org/apache/lucene/analysis/charfilter/HTMLStripCharFilter.java,31176,31818,595,155,HTMLStripCharFilter.nextChar(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,queryparser/src/java/org/apache/lucene/queryparser/classic/QueryParserTokenManager.java,87,633,546,238,"QueryParserTokenManager.jjMoveNfa_2(int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,analysis/common/src/java/org/tartarus/snowball/ext/TurkishStemmer.java,1911,2629,522,107,TurkishStemmer.r_stem_noun_suffixes(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/src/java/org/apache/lucene/index/CheckIndex.java,712,1186,385,113,"CheckIndex.checkFields(Fields,Bits,int,FieldInfos,boolean,boolean,PrintStream,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,analysis/common/src/java/org/apache/lucene/analysis/br/BrazilianStemmer.java,570,942,358,122,BrazilianStemmer.step2(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,queryparser/src/java/org/apache/lucene/queryparser/surround/parser/QueryParserTokenManager.java,67,413,346,156,"QueryParserTokenManager.jjMoveNfa_1(int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,analysis/common/src/java/org/tartarus/snowball/ext/FrenchStemmer.java,568,1035,335,78,FrenchStemmer.r_standard_suffix(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/src/java/org/apache/lucene/codecs/compressing/CompressingTermVectorsReader.java,174,529,311,68,CompressingTermVectorsReader.get(int),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,queryparser/src/java/org/apache/lucene/queryparser/flexible/standard/parser/StandardSyntaxParserTokenManager.java,131,439,308,133,"StandardSyntaxParserTokenManager.jjMoveNfa_2(int,int)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,analysis/common/src/java/org/tartarus/snowball/ext/TurkishStemmer.java,1277,1630,284,67,TurkishStemmer.r_stem_nominal_verb_suffixes(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,test-framework/src/java/org/apache/lucene/index/BasePostingsFormatTestCase.java,581,890,254,106,"BasePostingsFormatTestCase.verifyEnum(ThreadState,String,BytesRef,TermsEnum,IndexOptions,IndexOptions,EnumSet,boolean)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,analysis/common/src/java/org/apache/lucene/analysis/wikipedia/WikipediaTokenizerImpl.java,735,1007,253,107,WikipediaTokenizerImpl.getNextToken(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/src/java/org/apache/lucene/index/CheckIndex.java,376,669,248,56,CheckIndex.checkIndex(List),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,analysis/common/src/java/org/tartarus/snowball/ext/KpStemmer.java,1859,2186,245,48,KpStemmer.stem(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,analysis/common/src/java/org/tartarus/snowball/ext/PorterStemmer.java,613,911,243,52,PorterStemmer.stem(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,analysis/common/src/java/org/tartarus/snowball/ext/TurkishStemmer.java,236,507,241,53,TurkishStemmer.r_check_vowel_harmony(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,test-framework/src/java/org/apache/lucene/util/fst/FSTTester.java,359,655,237,62,"FSTTester.verifyUnPruned(int,FST)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,analysis/common/src/java/org/tartarus/snowball/ext/DutchStemmer.java,494,790,225,49,DutchStemmer.r_standard_suffix(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,analysis/common/src/java/org/tartarus/snowball/ext/KpStemmer.java,666,960,213,51,KpStemmer.r_Step_2(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,analysis/common/src/java/org/tartarus/snowball/ext/LovinsStemmer.java,1571,1871,213,53,LovinsStemmer.r_respell(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,analysis/common/src/java/org/tartarus/snowball/ext/TurkishStemmer.java,2671,2923,210,41,TurkishStemmer.r_append_U_to_stems_ending_with_d_or_g(),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,benchmark/src/java/org/apache/lucene/benchmark/byTask/utils/Algorithm.java,50,288,208,52,Algorithm.$constructor(PerfRunData),False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,core/src/java/org/apache/lucene/util/fst/FST.java,1429,1775,208,49,"FST.pack(int,int,float)",False
nl.sig.bettercodehub.dataaccess.datamodel.RefactoringFileCandidate,VERY_HIGH,analysis/common/src/java/org/tartarus/snowball/ext/KpStemmer.java,389,664,206,49,KpStemmer.r_Step_1(),False
